"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"283703","2837","Mometasone furoate","Crm 0.1%","101101","Corticosteroids - Plain","1011","Corticosteroids Topical","10","Dermatologicals","g",99.8990443503113
"283701","2837","Mometasone furoate","Lotn 0.1%","101101","Corticosteroids - Plain","1011","Corticosteroids Topical","10","Dermatologicals","ml",99.962589411307
"283704","2837","Mometasone furoate","Oint 0.1%","101101","Corticosteroids - Plain","1011","Corticosteroids Topical","10","Dermatologicals","g",99.9231350699428
"396727","3967","Montelukast","Tab 10 mg","283704","Leukotriene Receptor Antagonists","2837","Leukotriene Receptor Antagonists","28","Respiratory System and Allergies","tab",99.9844851593978
"396725","3967","Montelukast","Tab 4 mg","283704","Leukotriene Receptor Antagonists","2837","Leukotriene Receptor Antagonists","28","Respiratory System and Allergies","tab",99.9685688210278
"396726","3967","Montelukast","Tab 5 mg","283704","Leukotriene Receptor Antagonists","2837","Leukotriene Receptor Antagonists","28","Respiratory System and Allergies","tab",99.9502731466802
"183001","1830","Morphine hydrochloride","Oral liq 1 mg per ml","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","ml",94.9063015333512
"183004","1830","Morphine hydrochloride","Oral liq 10 mg per ml","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","ml",97.4279471257816
"183002","1830","Morphine hydrochloride","Oral liq 2 mg per ml","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","ml",98.400286048081
"183003","1830","Morphine hydrochloride","Oral liq 5 mg per ml","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","ml",97.7933522238366
"183122","1831","Morphine sulphate","Cap long-acting 10 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","cap",95.9882208844165
"183119","1831","Morphine sulphate","Cap long-acting 100 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","cap",98.9258146259919
"183126","1831","Morphine sulphate","Cap long-acting 30 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","cap",98.0309372956696
"183127","1831","Morphine sulphate","Cap long-acting 60 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","cap",98.6848268674997
"183108","1831","Morphine sulphate","Inj 10 mg per ml, 1 ml ampoule","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","inj",67.1523153828106
"183110","1831","Morphine sulphate","Inj 15 mg per ml, 1 ml ampoule","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","inj",81.2611408199644
"183111","1831","Morphine sulphate","Inj 30 mg per ml, 1 ml ampoule","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","inj",73.2540269362479
"183107","1831","Morphine sulphate","Inj 5 mg per ml, 1 ml ampoule","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","inj",74.45568731864
"183128","1831","Morphine sulphate","Oral liq 2 mg per ml","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","ml",95.705992087201
"183120","1831","Morphine sulphate","Tab immediate-release 10 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","tab",97.755805151999
"183121","1831","Morphine sulphate","Tab immediate-release 20 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","tab",97.7971055052109
"183102","1831","Morphine sulphate","Tab long-acting 30 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","tab",99.8092173459589
"183103","1831","Morphine sulphate","Tab long-acting 60 mg","220407","Opioid Analgesics","2204","Analgesics","22","Nervous System","tab",99.7643238713732
"392525","3925","Moxifloxacin","Tab 400 mg","160313","Other Antibiotics","1603","Antibacterials","16","Infections - Agents for Systemic Use","tab",100
"285910","2859","Mucilaginous laxatives with stimulants","Dry","12501","Bulk-forming Agents","125","Laxatives","1","Alimentary Tract and Metabolism","g",100
"404925","4049","Multivitamin renal","Cap","13719","Multivitamin Preparations","137","Vitamins","1","Alimentary Tract and Metabolism","cap",99.9995025136328
"292602","2926","Multivitamins","Powder","13719","Multivitamin Preparations","137","Vitamins","1","Alimentary Tract and Metabolism","g",100
"183501","1835","Mupirocin","Oint 2%","100401","Antibacterials Topical","1004","Antibacterials Topical","10","Dermatologicals","g",100
"103401","1034","Mycophenolate mofetil","Cap 250 mg","250701","Cytotoxic Immunosuppressants","2507","Immunosuppressants","25","Oncology Agents and Immunosuppressants","cap",99.9981640900931
"103427","1034","Mycophenolate mofetil","Powder for oral liq 1 g per 5 ml","250701","Cytotoxic Immunosuppressants","2507","Immunosuppressants","25","Oncology Agents and Immunosuppressants","ml",100
"103426","1034","Mycophenolate mofetil","Tab 500 mg","250701","Cytotoxic Immunosuppressants","2507","Immunosuppressants","25","Oncology Agents and Immunosuppressants","tab",99.9960377661355
"183801","1838","Nadolol","Tab 40 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9954549526441
"183802","1838","Nadolol","Tab 80 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9975786464288
"379325","3793","Naltrexone hydrochloride","Tab 50 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","tab",100
"184301","1843","Naphazoline hydrochloride","Eye drops 0.1%","310317","Other Eye Preparations","3103","Eye Preparations","31","Sensory Organs","ml",99.5160555682077
"278209","2782","Naproxen","Tab 250 mg","190401","Non-Steroidal Anti-Inflammatory Drugs","1904","Non-Steroidal Anti-Inflammatory Drugs","19","Musculoskeletal System","tab",99.6780252383316
"278211","2782","Naproxen","Tab 500 mg","190401","Non-Steroidal Anti-Inflammatory Drugs","1904","Non-Steroidal Anti-Inflammatory Drugs","19","Musculoskeletal System","tab",99.79782759745
"278206","2782","Naproxen","Tab long-acting 1 g","190401","Non-Steroidal Anti-Inflammatory Drugs","1904","Non-Steroidal Anti-Inflammatory Drugs","19","Musculoskeletal System","tab",99.8966684957677
"278205","2782","Naproxen","Tab long-acting 750 mg","190401","Non-Steroidal Anti-Inflammatory Drugs","1904","Non-Steroidal Anti-Inflammatory Drugs","19","Musculoskeletal System","tab",99.9251879012211
"404525","4045","Natalizumab","Inj 20 mg per ml, 15 ml vial","222601","Multiple Sclerosis Treatments","2226","Multiple Sclerosis Treatments","22","Nervous System","inj",99.9967599792639
"102502","1025","Nedocromil","Aerosol inhaler, 2 mg per dose CFC-free","284001","Mast Cell Stabilisers","2840","Mast Cell Stabilisers","28","Respiratory System and Allergies","dose",99.8193859121011
"184901","1849","Nefopam hydrochloride","Tab 30 mg","220404","Non-opioid Analgesics","2204","Analgesics","22","Nervous System","tab",99.7534088544372
"185703","1857","Neostigmine metilsulfate","Inj 2.5 mg per ml, 1 ml ampoule","190101","Anticholinesterases","1901","Anticholinesterases","19","Musculoskeletal System","inj",0.587471399418713
"413625","4136","Nepafenac","Eye drops 0.3%","310304","Corticosteroids and Other Anti-Inflammatory Preparations","3103","Eye Preparations","31","Sensory Organs","ml",92.7584842699142
"117025","1170","Nevirapine","Oral suspension 10 mg per ml","162001","Non-nucleosides Reverse Transcriptase Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","ml",100
"117001","1170","Nevirapine","Tab 200 mg","162001","Non-nucleosides Reverse Transcriptase Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","tab",100
