"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2022,"10648","1873",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2022,"1622","270",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2022,"13827","2296",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2022,"1228","215",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2022,"1852","346",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2022,"122647","20996",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2023,"10300","1710",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2023,"7207","1189",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2023,"19317","3145",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2023,"7663","1088",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2023,"10422","1803",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2023,"4034","785",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2023,"3716","619",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2023,"2184","405",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2023,"5699","892",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2023,"6043","927",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2023,"5357","1003",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2023,"1941","352",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2023,"9061","1668",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2023,"1204","185",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2023,"3387","642",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2023,"11158","1979",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2023,"1682","259",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2023,"14298","2331",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2023,"1249","210",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2023,"1995","366",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2023,"127917","21558",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2024,"10821","1780",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2024,"7603","1205",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2024,"20650","3213",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2024,"8363","1155",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2024,"11354","1947",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2024,"4350","824",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2024,"4181","612",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2024,"2153","408",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2024,"5978","894",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2024,"6749","945",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2024,"5488","1019",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2024,"2001","350",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2024,"9215","1697",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2024,"1301","202",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2024,"3524","651",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2024,"12149","2025",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2024,"1664","277",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2024,"15942","2460",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2024,"1213","215",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2024,"2091","366",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2024,"136790","22245",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2025,"11069","1746",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2025,"7976","1203",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2025,"21630","3248",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2025,"8653","1138",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2025,"11699","2008",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2025,"4276","814",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2025,"4551","636",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2025,"2263","433",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2025,"6869","928",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2025,"6884","943",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2025,"5412","971",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2025,"2138","355",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2025,"10426","1765",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2025,"1264","198",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2025,"3863","684",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2025,"13342","2130",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2025,"1891","295",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2025,"16401","2488",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2025,"1245","221",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2025,"2130","341",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2025,"143982","22545",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Auckland",2021,"29549","8896",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Bay of Plenty",2021,"20775","6249",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Canterbury",2021,"49025","14263",100
